
="",="(1)"
="",="Turnout"

="Years Broadcasting",="0.0168***"
="",="(0.00173)"

="Quadratic Years Broadcasting",="-0.00198***"
="",="(0.000223)"

="Constant",="0.568***"
="",="(0.00169)"

="ar2",="0.883"
="N",="34968"

="Standard errors in parentheses"
="* p<0.05, ** p<0.01, *** p<0.001"
